episode_id,name,air_date,episode,character_id,url,created
13,Mortynight Run,"August 2, 2015",S02E02,207,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,242,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,257,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,282,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,309,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,311,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,362,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,386,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,393,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,436,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,441,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,442,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,443,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,444,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,445,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,446,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,447,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,448,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,449,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,450,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
13,Mortynight Run,"August 2, 2015",S02E02,451,https://rickandmortyapi.com/api/episode/13,2017-11-10T12:56:35.055Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,1,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,2,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,3,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,4,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,5,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,36,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,50,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,90,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,188,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
